RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,BlueStance,BlueHeightCms,BlueReachCms,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,Finish,FinishDetails,FinishRound,FinishRoundTime,UfcEvent,,,,,,,,,,,,,,,,
Melissa Mullins,Klaudia Sygula,,,09-11-2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Bantamweight,FEMALE,Orthodox,172.72,175.26,Orthodox,170.18,172.72,33,25,KO/TKO,Punches,2,1:20,,,,,,,,,,,,,,,,,
Brandon Moreno,Amir Albazi,-180,150,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Flyweight,MALE,Orthodox,165.1,172.72,Orthodox,170.18,177.8,30,31,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Erin Blanchfield,Rose Namajunas,-155,130,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Women's Flyweight,FEMALE,Orthodox,165.1,165.1,Orthodox,162.56,167.64,25,32,U-DEC,,5,5:00,,,,,,,,,,,,,,,,,
Caio Machado,Brendson Ribeiro,-192,160,02-11-2024,"Edmonton, Alberta, Canada",Canada,Blue,FALSE,Light Heavyweight,MALE,Orthodox,190.5,205.74,Southpaw,193.04,198.12,30,28,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Ariane da Silva,Jasmine Jasudavicius,190,-250,02-11-2024,"Edmonton, Alberta, Canada",Canada,Blue,FALSE,Women's Flyweight,FEMALE,Orthodox,170.18,172.72,Orthodox,167.64,170.18,30,35,SUB,D'Arce Choke,3,2:28,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Dustin Stoltzfus,-270,220,02-11-2024,"Edmonton, Alberta, Canada",Canada,Blue,FALSE,Middleweight,MALE,Orthodox,182.88,190.5,Orthodox,185.42,187.96,34,32,KO/TKO,Punch,1,4:28,,,,,,,,,,,,,,,,,
Mike Malott,Trevin Giles,-375,295,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Welterweight,MALE,Orthodox,182.88,187.96,Orthodox,185.42,185.42,32,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Pedro Munhoz,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,165.1,Orthodox,172.72,172.72,36,38,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Charles Jourdain,Victor Henry,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Bantamweight,MALE,Switch,170.18,172.72,Switch,175.26,175.26,28,37,SUB,Guillotine Choke,2,3:43,,,,,,,,,,,,,,,,,
Jack Shore,Youssef Zalal,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Blue,FALSE,Featherweight,MALE,Switch,177.8,182.88,Orthodox,172.72,180.34,29,28,SUB,Arm Triangle,2,0:59,,,,,,,,,,,,,,,,,
Alexandr Romanov,Rodrigo Nascimento,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Heavyweight,MALE,Orthodox,187.96,203.2,Southpaw,187.96,190.5,33,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Serhiy Sidey,Garrett Armfield,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Bantamweight,MALE,Orthodox,167.64,177.8,Switch,180.34,182.88,28,28,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Chad Anheliger,Cody Gibson,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Blue,FALSE,Bantamweight,MALE,Orthodox,177.8,180.34,Orthodox,167.64,162.56,37,37,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Jamey-Lyn Horth,Ivana Petrovic,,,02-11-2024,"Edmonton, Alberta, Canada",Canada,Red,FALSE,Women's Flyweight,FEMALE,Southpaw,172.72,177.8,Orthodox,170.18,167.64,34,30,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Ilia Topuria,Max Holloway,-305,245,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,TRUE,Featherweight,MALE,Orthodox,180.34,175.26,Orthodox,170.18,175.26,27,32,KO/TKO,Punch,3,1:34,,,,,,,,,,,,,,,,,
Robert Whittaker,Khamzat Chimaev,200,-245,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Middleweight,MALE,Orthodox,187.96,190.5,Orthodox,182.88,185.42,33,30,SUB,Rear Naked Choke,1,3:34,,,,,,,,,,,,,,,,,
Magomed Ankalaev,Aleksandar Rakic,-340,270,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,Orthodox,193.04,198.12,Orthodox,190.5,190.5,32,32,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Lerone Murphy,Dan Ige,-340,270,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,Orthodox,170.18,180.34,Orthodox,175.26,185.42,33,33,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Shara Magomedov,Armen Petrosyan,-166,140,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,190.5,180.34,Orthodox,187.96,185.42,30,33,KO/TKO,Spinning Back Fist,2,4:52,,,,,,,,,,,,,,,,,
Ibo Aslan,Rafael Cerqueira,-108,-112,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,Southpaw,190.5,193.04,Orthodox,190.5,195.58,28,34,KO/TKO,Punches,1,0:51,,,,,,,,,,,,,,,,,
Geoff Neal,Rafael Dos Anjos,-245,200,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,Southpaw,172.72,177.8,Southpaw,180.34,190.5,34,40,KO/TKO,,1,1:30,,,,,,,,,,,,,,,,,
Mateusz Rebecki,Myktybek Orolbai,215,-265,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Catch Weight,MALE,Orthodox,177.8,187.96,Southpaw,170.18,167.64,31,26,S-DEC,,3,5:00,,,,,,,,,,,,,,,,,
Abus Magomedov,Brunno Ferreira,-155,130,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,Orthodox,177.8,182.88,Orthodox,187.96,198.12,34,31,SUB,Arm Triangle,3,3:14,,,,,,,,,,,,,,,,,
Kennedy Nzechukwu,Chris Barnett,-800,550,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,Orthodox,175.26,190.5,Southpaw,195.58,210.82,32,38,KO/TKO,Knee,1,4:27,,,,,,,,,,,,,,,,,
Farid Basharat,Victor Hugo,-575,425,26-10-2024,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Featherweight,MALE,Orthodox,170.18,180.34,Orthodox,172.72,180.34,27,31,U-DEC,,3,5:00,,,,,,,,,,,,,,,,,
